Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
AURIONPRO.NS,40.858765448170274,29.104630965318623,0,Technology,Software - Infrastructure,4.83697,19.331636647382766,0,34.66319693908899,39.05583210858855,2.022,-0.681,0,0
AUROPHARMA.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,2.0646513,40.83915690002742,1,60.01838847713027,19.345737689082267,25.31,0.217,0,0
AURUM.NS,49.75358422939068,19.04358353510896,0,Real Estate,Real Estate Services,3.8250558,-9.477814434730446,1,-4.72477539122896,-41.028405362900806,96.087,0.118,0,0
AUSOMENT.NS,,,0,Financial Services,Capital Markets,1.0341444,17.651675672503675,1,14.35288763616078,7.562938047847477,0.052,-0.123,0,0
AUTOAXLES.NS,,,0,Consumer Cyclical,Auto Parts,2.7584882,32.03062060615606,1,102.92152038115405,17.414239445380247,1.582,0.527,0,0
AUTOIND.NS,,,0,Consumer Cyclical,Auto Parts,2.4608657,32.03062060615606,1,4.194518174701335,6.6,188.053,-0.393,0,0
AVADHSUGAR.NS,-7.329476172601243,-3.4567421758298162,0,Consumer Defensive,Confectioners,0.99886215,-5.203670671410606,0,43.92713583503177,12.509351897279295,124.509,0.374,0,0
AVANTIFEED.NS,,,0,Consumer Defensive,Packaged Foods,3.6126,28.10693201856854,1,38.813911072618644,19.134892090891075,0.477,-0.183,0,0
AVTNPL.NS,,,0,Basic Materials,Specialty Chemicals,1.9439584,36.470734724695,1,3.166911927714008,1.78,22.258,0.019,0,0
AWHCL.NS,6.431711897484993,,0,Industrials,Waste Management,2.676462,20.665789360453594,0,30.093212949807686,20.665789360453594,61.704,0.579,0,0
AWL.NS,13.106080400134374,9.836356069424301,0,Consumer Defensive,Packaged Foods,3.6241639,28.10693201856854,1,9.458032338953739,8.83,20.557,-0.382,0,0
AXISCADES.NS,,,0,Industrials,Engineering & Construction,7.1619306,9.016105709649487,0,17.633613866162168,62.05761384510608,39.327,0.26,0,0
AYMSYNTEX.NS,-19.2777012399134,-12.377417903733692,0,Consumer Cyclical,Textile Manufacturing,2.3688862,-84.48168306527056,0,1.9852819424694996,126.24907054170248,34.934,0.642,0,0
BAFNAPH.NS,-5.098441423997854,,0,Healthcare,Drug Manufacturers - Specialty & Generic,2.0779111,40.83915690002742,0,1.7557690763137093,42.10690403274347,33.251,0.124,0,0
BAGFILMS.NS,,,0,Communication Services,Broadcasting,0.5139246,16.794684877671656,0,0.3137006234905365,23.58936975534331,54.793,-0.099,0,0
BAJAJ-AUTO.NS,,,0,Consumer Cyclical,Auto Manufacturers,6.8461337,36.50255398439733,1,262.2925961966409,32.92887456695437,26.249,0.804,0,0
